"","x"
"1","ENSG00000153234"
"2","ENSG00000133110"
"3","ENSG00000259884"
"4","ENSG00000114315"
"5","ENSG00000276830"
"6","ENSG00000125740"
"7","ENSG00000125968"
"8","ENSG00000272512"
"9","ENSG00000123358"
"10","ENSG00000211772"
"11","ENSG00000271075"
"12","ENSG00000162630"
"13","ENSG00000223764"
"14","ENSG00000107562"
"15","ENSG00000081041"
"16","ENSG00000162772"
"17","ENSG00000112414"
"18","ENSG00000136244"
"19","ENSG00000117318"
"20","ENSG00000179388"
"21","ENSG00000173334"
"22","ENSG00000169071"
"23","ENSG00000173391"
"24","ENSG00000261490"
"25","ENSG00000286458"
"26","ENSG00000185760"
"27","ENSG00000182492"
"28","ENSG00000128342"
"29","ENSG00000179094"
"30","ENSG00000205002"
"31","ENSG00000060718"
"32","ENSG00000122877"
"33","ENSG00000268812"
"34","ENSG00000158050"
"35","ENSG00000138829"
"36","ENSG00000117228"
"37","ENSG00000107796"
"38","ENSG00000124216"
"39","ENSG00000108551"
"40","ENSG00000267519"
"41","ENSG00000251348"
"42","ENSG00000128165"
"43","ENSG00000162849"
"44","ENSG00000232656"
"45","ENSG00000103257"
"46","ENSG00000237892"
"47","ENSG00000134198"
"48","ENSG00000128016"
"49","ENSG00000236439"
"50","ENSG00000253139"
"51","ENSG00000275339"
"52","ENSG00000185745"
"53","ENSG00000235688"
"54","ENSG00000135069"
"55","ENSG00000118515"
"56","ENSG00000188290"
"57","ENSG00000154319"
"58","ENSG00000168077"
"59","ENSG00000265972"
"60","ENSG00000276365"
"61","ENSG00000171223"
"62","ENSG00000125144"
"63","ENSG00000275894"
"64","ENSG00000170345"
"65","ENSG00000181260"
"66","ENSG00000155090"
"67","ENSG00000065911"
"68","ENSG00000116106"
"69","ENSG00000091490"
"70","ENSG00000198768"
"71","ENSG00000187479"
"72","ENSG00000100889"
"73","ENSG00000228561"
"74","ENSG00000286337"
"75","ENSG00000120738"
"76","ENSG00000134107"
"77","ENSG00000244218"
"78","ENSG00000163017"
"79","ENSG00000080573"
"80","ENSG00000101255"
"81","ENSG00000199477"
"82","ENSG00000225308"
"83","ENSG00000255353"
"84","ENSG00000137573"
"85","ENSG00000169594"
"86","ENSG00000131979"
"87","ENSG00000145244"
"88","ENSG00000196110"
"89","ENSG00000131459"
"90","ENSG00000107798"
"91","ENSG00000241975"
"92","ENSG00000213361"
"93","ENSG00000239528"
"94","ENSG00000198959"
"95","ENSG00000106123"
"96","ENSG00000136275"
"97","ENSG00000145908"
"98","ENSG00000105376"
"99","ENSG00000126353"
"100","ENSG00000260279"
"101","ENSG00000220517"
"102","ENSG00000176595"
"103","ENSG00000144802"
"104","ENSG00000149591"
"105","ENSG00000187800"
"106","ENSG00000121621"
"107","ENSG00000148339"
"108","ENSG00000272482"
"109","ENSG00000100739"
"110","ENSG00000237781"
"111","ENSG00000092621"
"112","ENSG00000127528"
"113","ENSG00000198846"
"114","ENSG00000225968"
"115","ENSG00000163874"
"116","ENSG00000275888"
"117","ENSG00000153885"
"118","ENSG00000169253"
"119","ENSG00000168003"
